,gls_power
rosat_sc/TIC358790031_s22_pdcsap_sc_tls.h5,"(0.9802436169021281, 0.048130011238281215)"
rosat_sc/TIC41232835_s1_pdcsap_sc_tls.h5,"(0.9769843905847679, 0.04748087126073431)"
rosat_sc/TIC296321403_s14_pdcsap_sc_tls.h5,"(0.9618179433332206, 0.048007033804330614)"
rosat_sc/TIC141602778_s19_pdcsap_sc_tls.h5,"(0.961456518848936, 0.04972658039035752)"
rosat_sc/TIC52588257_s6_pdcsap_sc_tls.h5,"(0.9604062071639897, 0.05276808059606176)"
rosat_sc/TIC166660531_s11_pdcsap_sc_tls.h5,"(0.9566672156610388, 0.05001602241549637)"
rosat_sc/TIC21827610_s10_pdcsap_sc_tls.h5,"(0.9530124590097596, 0.04861285005080394)"
rosat_sc/TIC115105140_s1_pdcsap_sc_tls.h5,"(0.9422338740105787, 0.046143967880909804)"
rosat_sc/TIC372758788_s14_pdcsap_sc_tls.h5,"(0.9328944498929967, 0.04564225695452714)"
rosat_sc/TIC71304330_s9_pdcsap_sc_tls.h5,"(0.9308749366679715, 0.048210373605542964)"
rosat_sc/TIC417735733_s14_pdcsap_sc_tls.h5,"(0.9249608241152435, 0.04657027099283039)"
rosat_sc/TIC436998675_s11_pdcsap_sc_tls.h5,"(0.9248412590296738, 0.04696534283447598)"
rosat_sc/TIC988117699_s10_pdcsap_sc_tls.h5,"(0.9225526966524082, 0.04671115539521377)"
rosat_sc/TIC49175300_s9_pdcsap_sc_tls.h5,"(0.9187123960323637, 0.04751587732959873)"
rosat_sc/TIC316918406_s5_pdcsap_sc_tls.h5,"(0.9179050447659446, 0.04713266103946368)"
rosat_sc/TIC233904049_s14_pdcsap_sc_tls.h5,"(0.9146694986982613, 0.045581470195397385)"
rosat_sc/TIC30946742_s5_pdcsap_sc_tls.h5,"(0.9110094535349756, 0.046913357156666204)"
rosat_sc/TIC101544662_s13_pdcsap_sc_tls.h5,"(0.910099260386235, 0.04388805231633581)"
rosat_sc/TIC273317891_s10_pdcsap_sc_tls.h5,"(0.909276189354112, 0.04767569727198829)"
rosat_sc/TIC393228453_s5_pdcsap_sc_tls.h5,"(0.9078383060987844, 0.0465552974092728)"
rosat_sc/TIC452981442_s7_pdcsap_sc_tls.h5,"(0.9015738458497514, 0.04661037717420623)"
rosat_sc/TIC340110295_s13_pdcsap_sc_tls.h5,"(0.8931697806423442, 0.04472442096643513)"
rosat_sc/TIC301087756_s12_pdcsap_sc_tls.h5,"(0.892776379656275, 0.045394018262564485)"
rosat_sc/TIC843283158_s10_pdcsap_sc_tls.h5,"(0.8727990567782148, 0.043696602773274695)"
rosat_sc/TIC404768019_s1_pdcsap_sc_tls.h5,"(0.8636415679555095, 0.041520435178677345)"
rosat_sc/TIC232634683_s14_pdcsap_sc_tls.h5,"(0.8629374215117835, 0.045650355577231704)"
rosat_sc/TIC1102002796_s16_pdcsap_sc_tls.h5,"(0.8612280482319873, 0.045380804175449915)"
rosat_sc/TIC21269234_s20_pdcsap_sc_tls.h5,"(0.8516094644824992, 0.04207881324272671)"
rosat_sc/TIC318035342_s12_pdcsap_sc_tls.h5,"(0.8369855162905996, 0.04395760758626154)"
rosat_sc/TIC458389964_s20_pdcsap_sc_tls.h5,"(0.8365145069566002, 0.042218817872179105)"
rosat_sc/TIC390229592_s10_pdcsap_sc_tls.h5,"(0.8325266004069712, 0.04301723817830136)"
rosat_sc/TIC224304406_s22_pdcsap_sc_tls.h5,"(0.830546250088889, 0.04087505554945493)"
rosat_sc/TIC236901679_s15_pdcsap_sc_tls.h5,"(0.827899683484208, 0.04390179660500444)"
rosat_sc/TIC392368056_s22_pdcsap_sc_tls.h5,"(0.8224451582615798, 0.041840763366688564)"
rosat_sc/TIC389730842_s13_pdcsap_sc_tls.h5,"(0.8153721972185293, 0.04507229695645376)"
rosat_sc/TIC66397732_s2_pdcsap_sc_tls.h5,"(0.8131729954425913, 0.04038343696280361)"
rosat_sc/TIC236778355_s14_pdcsap_sc_tls.h5,"(0.8123844771857472, 0.04436083058734271)"
